player,match_id,impact_score_0_100,rolling_im_last10,rank_in_last10_old_to_new
NT Ellis,1359505,35.99808810633998,41.16644096508684,3
NT Ellis,1359520,61.44162142693506,44.46639650587913,4
NT Ellis,1359527,76.38256326916303,50.52904478764662,5
NT Ellis,1359533,86.3656852995545,57.64347327006664,6
NT Ellis,1359538,32.43444616161358,53.97450117373005,7
NT Ellis,1359540,45.62619133057599,53.22652022029021,8
NT Ellis,1426303,64.33427035941902,55.742656916956,9
NT Ellis,1473440,82.1270545546502,61.19226083329831,10
NV Ojha,981009,12.987980597799428,36.99692724021628,1
NV Ojha,981015,32.57703549774816,35.47972540381162,2
NV Ojha,981017,54.381406131734295,38.10530222273206,3
NV Ojha,981019,55.196502745968814,40.89001302632805,4
NV Ojha,1082600,43.53094090708191,41.47263049082883,5
NV Ojha,1082604,39.23282375344365,41.10269513155595,6
NV Ojha,1082609,78.90355818259674,48.02438506099828,7
NV Ojha,1082634,47.39089913510952,48.70729417964751,8
NV Ojha,1082648,5.673044944823111,41.876009742425694,9
NV Ojha,1136596,44.847899897148736,42.656589670225344,10
Naman Dhir,1473453,86.44119815752387,68.97655568187756,1
Naman Dhir,1473458,56.15802109270404,66.7768549137241,2
Naman Dhir,1473466,74.80801922985441,68.23304399781404,3
Naman Dhir,1473470,41.401806512797805,63.92193964999549,4
Naman Dhir,1473482,74.47149683928804,65.78040094590277,5
Naman Dhir,1473493,42.72476219891122,61.862572756167424,6
Naman Dhir,1473501,78.52554181616486,64.13816385110987,7
Naman Dhir,1473506,56.19071757305173,62.36283672090702,8
Naman Dhir,1473509,57.88813025482554,60.994589581419966,9
Naman Dhir,1473510,69.50623752982455,62.413721133869764,10
Navdeep Saini,1254113,35.20031676874966,35.20031676874966,1
Navdeep Saini,1304055,14.728989812434229,24.42593416016259,2
Navdeep Saini,1304059,41.31680568734932,30.64190738279254,3
Navdeep Saini,1359540,33.550014906942,31.517221651067224,4
Naveen-ul-Haq,1422122,59.67739275811908,45.93702640995893,1
Naveen-ul-Haq,1422129,51.72320746645158,46.1639714910911,2
Naveen-ul-Haq,1422133,43.33682527565962,44.752663969920064,3
Naveen-ul-Haq,1422139,48.589214738620825,44.347739009567995,4
Naveen-ul-Haq,1426264,62.52350529242911,47.31906910144085,5
Naveen-ul-Haq,1426286,78.27471487954367,53.4564357191995,6
Naveen-ul-Haq,1426292,25.791557260659257,49.531936229720095,7
Naveen-ul-Haq,1426295,18.84853585466466,44.80155235387687,8
Naveen-ul-Haq,1426302,9.84481892018644,38.74607185218891,9
Naveen-ul-Haq,1426305,19.15935518361615,34.20514669075752,10
Niraj Patel,336015,55.99780451345698,55.99780451345698,1
Niraj Patel,336019,59.33693476394839,57.755241487399836,2
Niraj Patel,336036,57.03633073504055,57.49548727161469,3
Niraj Patel,336040,23.4849279850268,47.49577547562997,4
Niraj Patel,392182,14.620015104201194,39.13001298039896,5
Niraj Patel,392233,19.949997957527728,34.53832190421248,6
Nithish Kumar Reddy,1473447,48.16689744163351,50.89275265467707,1
Nithish Kumar Reddy,1473452,54.48703377466816,51.342882771657905,2
Nithish Kumar Reddy,1473457,32.11091623993288,47.92181758251454,3
Nithish Kumar Reddy,1473470,37.65964993561624,46.41406269608682,4
Nithish Kumar Reddy,1473478,42.20207757855489,46.043355082138575,5
Nithish Kumar Reddy,1473480,53.28484986620237,47.01554963422147,6
Nithish Kumar Reddy,1473488,70.35080462519491,50.8813719014498,7
Nithish Kumar Reddy,1473499,51.69481484023287,50.73581822518149,8
Nithish Kumar Reddy,1473503,58.6802525035839,51.99088600829175,9
Nithish Kumar Reddy,1473505,73.83719954469882,56.49709490219441,10
Noor Ahmad,1473459,47.02000902884649,41.928592202585065,1
Noor Ahmad,1473462,32.727284420211774,40.591795719595936,2
Noor Ahmad,1473467,80.4399476223981,48.39261534633749,3
Noor Ahmad,1473475,29.56318823700236,46.0669954371124,4
Noor Ahmad,1473480,14.314967554065769,40.53376287350181,5
Noor Ahmad,1473486,31.87551637910296,38.75652204100648,6
Noor Ahmad,1473489,42.18108558900063,38.8476613982391,7
Noor Ahmad,1473494,54.79722287186595,41.42039975781407,8
Noor Ahmad,1473500,36.82861348965368,40.27624185396831,9
Noor Ahmad,1473504,55.08018807832423,42.74145261849959,10
O Thomas,1178418,70.19760902558379,70.19760902558379,1
O Thomas,1178420,78.10152668446243,74.3575656881515,2
O Thomas,1178424,66.69764637755965,71.53596578297883,3
O Thomas,1178428,43.23837908045317,63.20170837815749,4
OA Shah,548326,50.05193457362576,58.20809947105683,1
OA Shah,548332,43.51078468339051,56.13360172866592,2
OA Shah,548336,25.550849351208903,50.663155687834916,3
OA Shah,548345,51.260381398329706,50.157384794281555,4
OA Shah,548349,48.41067705839644,49.42625096295229,5
OA Shah,548358,44.2292380374106,47.95089830958352,6
OA Shah,548373,20.20988906977117,42.25370436454347,7
OA Shah,548377,13.568635370400244,36.11001598262515,8
OA Shah,598036,51.260381398329706,37.920198201476886,9
OA Shah,598043,23.727111221347705,34.087804406433506,10
OC McCoy,1304076,50.54571735029169,50.54571735029169,1
OC McCoy,1304080,1.9082725829724223,24.947062209597338,2
OC McCoy,1304109,100.0,52.64963674255871,3
OC McCoy,1304114,64.0199604786069,56.155464908879125,4
OC McCoy,1312197,74.35816405066042,60.90983742491558,5
OC McCoy,1312199,79.28435727706972,65.29788789566199,6
OC McCoy,1312200,62.22243157129928,65.11250610771798,7
OC McCoy,1359526,35.32545056259804,59.835161569101174,8
OF Smith,1304049,34.518653159306794,34.518653159306794,1
OF Smith,1304054,0.0,16.350940970197957,2
OF Smith,1304057,29.462845726000275,21.139914167942855,3
OF Smith,1304062,27.065697725655767,22.86626943840317,4
OF Smith,1304069,29.77865080918569,24.604811809665044,5
OF Smith,1304074,10.918496966291904,21.612257658430494,6
P Amarnath,335983,36.78863108119975,36.78863108119975,1
P Amarnath,335989,0.0,17.42619367004199,2
P Amarnath,335993,37.57520740008621,24.817078616683705,3
P Amarnath,335996,36.812825578715454,28.347809998715547,4
P Amarnath,336009,30.684268345851617,28.987288983871085,5
P Amarnath,336013,27.633622610668272,28.75481895679274,6
P Awana,598059,76.42816916044455,49.000709515133984,1
P Awana,598064,66.9722931831069,53.10921011574642,2
P Awana,598066,40.8990000162248,51.82102987151425,3
P Awana,729283,56.32129556894259,53.307200805544305,4
P Awana,729291,30.68747086832481,49.55885032000219,5
P Awana,733997,49.252392544147725,49.12786707517812,6
P Awana,734039,49.26106815751001,49.08416179813432,7
P Awana,734043,46.62105759986112,48.80984219082735,8
