team,player,matches
Kolkata Knight Riders,M Morkel,29
Kolkata Knight Riders,AB Dinda,28
Kolkata Knight Riders,SS Iyer,28
Kolkata Knight Riders,AB Agarkar,27
Kolkata Knight Riders,MS Bisla,27
Kolkata Knight Riders,RA Tripathi,27
Kolkata Knight Riders,VG Arora,27
Kolkata Knight Riders,B Lee,25
Kolkata Knight Riders,M Kartik,25
Kolkata Knight Riders,RN ten Doeschate,24
Kolkata Knight Riders,WP Saha,24
Kolkata Knight Riders,DJ Hussey,23
Kolkata Knight Riders,DB Das,22
Kolkata Knight Riders,LH Ferguson,21
Kolkata Knight Riders,AM Rahane,19
Kolkata Knight Riders,BJ Hodge,19
Kolkata Knight Riders,A Raghuvanshi,18
Kolkata Knight Riders,Rahmanullah Gurbaz,18
Kolkata Knight Riders,CH Gayle,16
Kolkata Knight Riders,Ramandeep Singh,16
Kolkata Knight Riders,TG Southee,14
Kolkata Knight Riders,AD Mathews,13
Kolkata Knight Riders,CR Woakes,13
Kolkata Knight Riders,MA Starc,13
Kolkata Knight Riders,Suyash Sharma,13
Kolkata Knight Riders,C de Grandhomme,12
Kolkata Knight Riders,PD Salt,12
Kolkata Knight Riders,GB Hogg,11
Kolkata Knight Riders,JD Unadkat,11
Kolkata Knight Riders,KL Nagarkoti,11
Kolkata Knight Riders,R Vinay Kumar,11
Kolkata Knight Riders,SN Thakur,11
Kolkata Knight Riders,AS Roy,10
Kolkata Knight Riders,AS Rajpoot,9
Kolkata Knight Riders,HF Gurney,8
Kolkata Knight Riders,JJ Roy,8
Kolkata Knight Riders,Mohammad Hafeez,8
Kolkata Knight Riders,NM Coulter-Nile,8
Kolkata Knight Riders,Q de Kock,8
Kolkata Knight Riders,SE Bond,8
Kolkata Knight Riders,SMSM Senanayake,8
Kolkata Knight Riders,SP Jackson,8
Kolkata Knight Riders,SW Billings,8
Kolkata Knight Riders,BAW Mendis,7
Kolkata Knight Riders,Salman Butt,7
Kolkata Knight Riders,A Chopra,6
Kolkata Knight Riders,CA Pujara,6
Kolkata Knight Riders,MG Johnson,6
