match_id,innings,bowler,balls,runs_conceded,wickets,dot_balls,pp_balls,mid_balls,death_balls,overs,economy
1082595,1,A Mishra,12,32,0,3,0,12,0,2.0,16.0
1082595,1,CH Morris,24,22,3,16,12,0,12,4.0,5.5
1082595,1,CR Brathwaite,12,29,0,1,0,13,0,2.0,14.5
1082595,1,PJ Cummins,24,30,1,9,13,6,6,4.0,7.5
1082595,1,S Nadeem,24,13,1,12,7,18,0,4.0,3.25
1082595,1,Z Khan,24,31,2,9,6,13,6,4.0,7.75
1082595,2,B Stanlake,24,29,2,12,19,6,0,4.0,7.25
1082595,2,Iqbal Abdulla,18,36,2,3,6,15,0,3.0,12.0
1082595,2,P Negi,6,3,2,3,0,0,6,1.0,3.0
1082595,2,SR Watson,24,21,1,12,0,12,12,4.0,5.25
1082595,2,TS Mills,24,33,1,7,6,12,6,4.0,8.25
1082595,2,YS Chahal,24,20,1,10,6,18,0,4.0,5.0
1082596,1,A Nehra,24,28,1,8,6,12,6,4.0,7.0
1082596,1,B Kumar,24,23,2,8,12,0,12,4.0,5.75
1082596,1,BCJ Cutting,18,29,0,2,0,12,6,3.0,9.666666666666666
1082596,1,Bipul Sharma,24,24,0,7,12,12,0,4.0,6.0
1082596,1,MC Henriques,6,12,0,0,0,6,0,1.0,12.0
1082596,1,Rashid Khan,24,19,3,11,6,18,0,4.0,4.75
1082596,2,Basil Thampi,12,21,0,3,0,14,0,2.0,10.5
1082596,2,DS Kulkarni,12,17,0,2,6,6,0,2.0,8.5
1082596,2,P Kumar,12,16,1,5,12,0,0,2.0,8.0
1082596,2,S Kaushik,24,29,0,7,0,25,0,4.0,7.25
1082596,2,SK Raina,12,24,0,4,12,0,0,2.0,12.0
1082596,2,Tejas Baroka,21,33,0,6,6,15,0,3.5,9.428571428571429
1082597,1,Harbhajan Singh,24,27,0,7,0,24,0,4.0,6.75
1082597,1,JJ Bumrah,24,39,1,7,8,12,6,4.0,9.75
1082597,1,KH Pandya,24,24,3,8,6,18,0,4.0,6.0
1082597,1,MJ McClenaghan,24,52,1,8,14,6,8,4.0,13.0
1082597,1,SL Malinga,24,36,2,5,14,0,12,4.0,9.0
1082597,2,AS Rajpoot,24,37,3,13,0,18,7,4.0,9.25
1082597,2,CR Woakes,24,36,1,8,16,6,6,4.0,9.0
1082597,2,Kuldeep Yadav,24,35,1,9,7,18,0,4.0,8.75
1082597,2,SP Narine,24,22,1,12,6,18,0,4.0,5.5
1082597,2,TA Boult,23,50,0,6,13,0,11,3.8333333333333335,13.043478260869565
1082598,1,AR Patel,24,12,1,13,6,18,0,4.0,3.0
1082598,1,MM Sharma,24,47,0,10,6,6,12,4.0,11.75
1082598,1,MP Stoinis,18,28,0,2,0,12,7,3.0,9.333333333333334
1082598,1,Sandeep Sharma,24,26,1,15,18,0,7,4.0,6.5
1082598,1,T Natarajan,6,13,0,2,0,7,0,1.0,13.0
1082598,1,VR Aaron,24,22,2,11,6,18,0,4.0,5.5
1082598,2,B Stanlake,24,41,0,5,19,6,0,4.0,10.25
1082598,2,Iqbal Abdulla,12,19,0,3,6,7,0,2.0,9.5
1082598,2,P Negi,6,8,0,1,0,6,0,1.0,8.0
1082598,2,SR Watson,12,29,0,0,6,6,0,2.0,14.5
1082598,2,TS Mills,12,24,1,4,6,6,0,2.0,12.0
1082598,2,YS Chahal,21,29,1,8,0,21,0,3.5,8.285714285714286
1082599,1,A Zampa,24,45,1,8,0,18,6,4.0,11.25
1082599,1,AB Dinda,18,37,0,6,14,0,6,3.0,12.333333333333334
1082599,1,BA Stokes,24,41,0,7,6,12,6,4.0,10.25
